window_start,window_end,shot_number,window_accuracy,top_feature,top_feature_importance,feature_importance_std,n_features
105,110,107,0.8,release_height,0.15151515151515152,0.045648382348639015,13
106,111,108,0.8,std_elbow_angle,0.15625,0.05081590903031179,13
107,112,109,0.8,release_height,0.1911764705882353,0.0554009990406601,13
108,113,110,0.8,prep_duration,0.13432835820895525,0.039416435329762675,13
109,114,111,0.6,release_height,0.1897163120567376,0.04387835757564301,13
110,115,112,0.6,max_hand_speed,0.14444444444444443,0.03587178082348869,13
111,116,113,0.6,max_hand_speed,0.15555555555555556,0.04912559312785698,13
112,117,114,0.6,avg_elbow_angle,0.16129032258064518,0.03879675481666098,13
113,118,115,0.6,avg_elbow_angle,0.15384615384615385,0.037291846080250775,13
114,119,116,0.6,max_hand_speed,0.15558510638297876,0.0453870045698209,13
115,120,117,0.8,release_height,0.15625,0.04707489429703398,13
116,121,118,0.6,release_height,0.19506172839506178,0.04581789930207371,13
117,122,119,0.6,release_height,0.1936813186813187,0.04393351537382925,13
118,123,120,0.4,avg_elbow_angle,0.12164224664224664,0.034880719219552256,13
119,124,121,0.6,movement_coordination,0.15995115995115994,0.049151381655413266,13
120,125,122,0.6,release_height,0.16666666666666669,0.04898861419067984,13
