shot_number,prep_duration,shot_duration,release_angle,max_hand_speed,avg_elbow_angle,std_elbow_angle,release_height,motion_smoothness,trial_number,motion_smoothness_seq,movement_coordination,peak_velocity,velocity_consistency
2,0.08765432098765433,0.12222222222222222,0.07361111111111111,0.07978395061728395,0.044444444444444446,0.05478395061728395,0.09259259259259257,0.06543209876543209,0.022222222222222223,0.08888888888888889,0.10540123456790124,0.10123456790123456,0.06172839506172839
3,0.08124253285543609,0.07526881720430109,0.03823178016726404,0.05376344086021506,0.18876941457586624,0.06451612903225808,0.12305854241338114,0.010752688172043013,0.04301075268817205,0.04181600955794505,0.13500597371565115,0.0919952210274791,0.05256869772998806
4,0.14444444444444443,0.07160493827160494,0.02638888888888889,0.04938271604938272,0.16790123456790124,0.13333333333333333,0.044444444444444446,0.022222222222222223,0.045216049382716055,0.08395061728395062,0.12839506172839507,0.03410493827160494,0.04861111111111111
5,0.07654320987654321,0.044444444444444446,0.05061728395061728,0.09089506172839507,0.1728395061728395,0.1617283950617284,0.08271604938271605,0.06172839506172839,0.029166666666666667,0.09953703703703705,0.08194444444444444,0.021450617283950615,0.02638888888888889
6,0.09845679012345679,0.0654320987654321,0.05555555555555555,0.11728395061728394,0.05061728395061728,0.14691358024691356,0.13209876543209878,0.06049382716049383,0.03333333333333333,0.06003086419753087,0.10123456790123456,0.03410493827160494,0.044444444444444446
7,0.1028972520908005,0.08198924731182797,0.02628434886499403,0.05600358422939068,0.13724611708482679,0.11992234169653525,0.10110513739546,0.017473118279569894,0.08751493428912785,0.11275388291517324,0.07317801672640384,0.042562724014336924,0.041069295101553174
8,0.060493827160493834,0.06790123456790124,0.11450617283950619,0.10200617283950618,0.03333333333333334,0.08271604938271607,0.1182098765432099,0.075,0.0521604938271605,0.03533950617283951,0.10771604938271606,0.07083333333333335,0.07978395061728397
9,0.08288530465949821,0.07482078853046598,0.07004181600955796,0.060483870967741944,0.1257467144563919,0.055704898446833934,0.06586021505376345,0.07646356033452809,0.06451612903225808,0.09722222222222222,0.10752688172043012,0.04301075268817205,0.07571684587813622
10,0.053549382716049386,0.08472222222222223,0.054320987654320994,0.07700617283950617,0.07438271604938272,0.061574074074074066,0.13410493827160494,0.06635802469135801,0.04645061728395061,0.05308641975308643,0.17407407407407408,0.06975308641975309,0.05061728395061728
11,0.058243727598566296,0.04181600955794504,0.02628434886499402,0.07302867383512544,0.18876941457586616,0.08960573476702509,0.11783154121863797,0.016726403823178013,0.0612305854241338,0.08273596176821982,0.14695340501792112,0.05451015531660692,0.04226403823178016
12,0.07005494505494506,0.040750915750915745,0.06410256410256411,0.11675824175824176,0.10073260073260072,0.0876068376068376,0.11691086691086691,0.03601953601953602,0.0750915750915751,0.08302808302808302,0.09096459096459097,0.06715506715506715,0.050824175824175824
13,0.15492957746478875,0.014084507042253523,0.04225352112676057,0.08450704225352114,0.15492957746478875,0.014084507042253523,0.14084507042253525,0.09859154929577466,0.04225352112676057,0.12676056338028172,0.014084507042253523,0.08450704225352114,0.028169014084507046
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.16666666666666666,0.16666666666666666,0.045454545454545456,0.07575757575757576,0.10606060606060606,0.03872053872053872,0.13636363636363635,0.057870370370370364,0.07575757575757576,0.03977272727272727
17,0.05555555555555555,0.08888888888888889,0.03333333333333333,0.12222222222222222,0.07777777777777778,0.044444444444444446,0.08888888888888889,0.05555555555555555,0.022222222222222223,0.1,0.13333333333333333,0.1111111111111111,0.06666666666666667
18,0.054945054945054944,0.10989010989010989,0.01098901098901099,0.08791208791208792,0.06593406593406594,0.04395604395604396,0.16483516483516483,0.03296703296703297,0.04395604395604396,0.0989010989010989,0.12087912087912088,0.08791208791208792,0.07692307692307693
19,0.15492957746478872,0.14084507042253522,0.0,0.04225352112676056,0.028169014084507043,0.028169014084507043,0.11267605633802817,0.08450704225352113,0.04225352112676056,0.1267605633802817,0.09859154929577464,0.09859154929577464,0.04225352112676056
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.062499999999999986,0.030303030303030304,0.07680976430976431,0.04335016835016835,0.04124579124579124,0.13909932659932658,0.24621212121212122,0.015151515151515152,0.09090909090909091,0.08143939393939394,0.12121212121212122,0.03093434343434344,0.02083333333333333
23,0.09375,0.03125,0.171875,0.005859375,0.046875,0.181640625,0.212890625,0.03125,0.015625,0.052734375,0.134765625,0.005859374999999997,0.015625
24,0.0065359477124183,0.058823529411764705,0.14154411764705882,0.05330882352941176,0.05330882352941176,0.184640522875817,0.09926470588235294,0.10294117647058823,0.021241830065359478,0.04044117647058823,0.17912581699346405,0.014705882352941176,0.04411764705882353
25,0.10416666666666664,0.050617283950617264,0.11728395061728392,0.05354938271604937,0.07160493827160493,0.09999999999999998,0.11188271604938269,0.03132716049382715,0.01805555555555555,0.1464506172839506,0.12222222222222219,0.02222222222222222,0.050617283950617264
26,0.058542413381123065,0.04778972520908006,0.07646356033452809,0.025537634408602156,0.19354838709677422,0.13978494623655915,0.05361409796893668,0.010752688172043013,0.058691756272401446,0.12425328554360814,0.114247311827957,0.04301075268817205,0.05376344086021506
27,0.17647058823529413,0.011029411764705878,0.04309640522875817,0.07352941176470588,0.05330882352941176,0.08823529411764706,0.08169934640522876,0.16176470588235295,0.030433006535947715,0.07352941176470588,0.16176470588235295,0.021241830065359475,0.02389705882352941
28,0.07462686567164178,0.014925373134328358,0.05970149253731343,0.029850746268656716,0.10551409618573798,0.07359038142620232,0.11670812603648424,0.1884328358208955,0.04477611940298507,0.07462686567164178,0.14925373134328357,0.053067993366500824,0.014925373134328358
29,0.0819640062597809,0.03873239436619717,0.019366197183098587,0.021909233176838808,0.08802816901408449,0.036971830985915485,0.20070422535211263,0.16901408450704222,0.05633802816901407,0.05281690140845069,0.13556338028169013,0.05633802816901407,0.042253521126760556
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
